"model","dataset","strategy","mae","mse","r2","spearman","eval_s","inference_s","peak_gpu_mem_mb","prepare_data_s","prepare_model_s","train_head_s","activation","embedding_dim","epochs_run","head_repeats","head_type"
"all-MiniLM-L6-v2","wine_reviews","frozen","1.509215976562109","3.686892976604525","0.6318779500496532","0.7890779738930158","0.017539577558636665","106.15464835707098","671.591796875","52.10308781452477","81.91842582914978","148.43679480813444","gelu","384","30","1","mlp"
"all-mpnet-base-v2","wine_reviews","frozen","1.3857749183507986","3.100344593669939","0.6904425448157847","0.8261309383728412","0.02738884463906288","137.5804586429149","1586.79150390625","26.617342634126544","4.0808758875355124","150.02799459639937","gelu","768","30","1","mlp"
"potion-base-8M","wine_reviews","frozen","1.4391702961024986","3.353373759816357","0.6651785580577994","0.8106400780874043","0.018491733819246292","31.03067395836115","401.873046875","27.41960868332535","0.420129407197237","119.22087815683335","gelu","256","24","1","mlp"
"potion-base-32M","wine_reviews","frozen","1.258057392143651","2.5820847046734317","0.7421887967289977","0.8583788988048644","0.018785669468343258","32.906344905495644","785.08642578125","27.075735179707408","0.5953191369771957","150.12070464435965","gelu","512","30","1","mlp"
"deberta-v3-small","wine_reviews","frozen","1.353826010350909","2.9613644307880738","0.7043191782811866","0.8347728278438051","0.016130076721310616","94.60689932573587","2538.8212890625","27.42261025402695","4.958432212471962","89.48892270028591","gelu","768","18","1","mlp"
"modernbert-base","wine_reviews","frozen","1.3679583124733266","3.023792278501039","0.6980859983597967","0.8304869479735664","0.019082194194197655","196.86539664585143","1812.21435546875","26.62763151153922","1.4989225026220083","92.0959977004677","gelu","768","19","1","mlp"
"distilbert-base-uncased","wine_reviews","frozen","1.3765840116034957","3.0557235531976414","0.6948977836832573","0.8276279411279548","0.01879134029150009","83.00868237763643","1493.94287109375","26.831925386562943","1.3870130060240626","47.0118481554091","gelu","768","9","1","mlp"
"roberta-base","wine_reviews","frozen","1.2257968362578149","2.4442745591774107","0.7559486084690912","0.8674256742281024","0.014190351590514183","94.84555845800787","1714.08447265625","26.54612758755684","1.8343879096210003","135.64221810083836","gelu","768","28","1","mlp"
"deberta-v3-base","wine_reviews","frozen","1.9298126040903578","5.915246569494171","0.40938543458091703","0.6413936957176635","0.016182762570679188","166.68758673593402","2910.2998046875","27.87717097066343","5.402115908451378","38.42605887725949","gelu","768","8","1","mlp"
"electra-base-discriminator","wine_reviews","frozen","1.2752185890180237","2.639434342379806","0.7364626564991766","0.8527381230822035","0.018581842072308064","100.66717399377376","1656.18310546875","26.06469683535397","2.4869491644203663","99.82693075295538","gelu","768","20","1","mlp"
"albert-base-v2","wine_reviews","frozen","1.3434230847695743","2.9125233110682123","0.7091957757922172","0.8387608441420029","0.019614540971815586","157.15508848428726","1597.4541015625","26.496957808732986","1.5121353138238192","64.9949878770858","gelu","768","13","1","mlp"
"e5-base-v2","wine_reviews","frozen","1.2731886917841875","2.624722204911938","0.7379316067068962","0.85447888622248","0.01768894214183092","102.13170740474015","1662.6171875","27.397387665696442","1.385338006541133","49.00564971752465","gelu","768","10","1","mlp"
"bge-base-en-v1.5","wine_reviews","frozen","1.3586056832307614","2.9846865274741807","0.7019905568387663","0.8387195042915613","0.01941665541380644","100.67281756922603","1658.43603515625","26.784355600364506","1.1035724766552448","79.59092495404184","gelu","768","16","1","mlp"
"modernbert-embed-base","wine_reviews","frozen","1.3983093110708857","3.148383915010334","0.685646003781839","0.8294004847483509","0.019031069241464138","196.92297767288983","1812.21435546875","26.251829794608057","1.5969941355288029","60.09398343786597","gelu","768","12","1","mlp"
"sentence-t5-base","wine_reviews","frozen","1.411588242036968","3.2186433921399433","0.6786308658558093","0.8225022832345324","0.01702116522938013","142.2512965556234","1622.02197265625","26.1793977227062","6.0813064854592085","48.90873265545815","gelu","768","10","1","mlp"
"mxbai-embed-large-v1","wine_reviews","frozen","1.3132968819138628","2.786042870499475","0.7218243601737651","0.8462593388776007","0.017803668044507504","264.8037891704589","2831.64501953125","27.319675823673606","4.098866566084325","75.05629113689065","gelu","1024","15","1","mlp"
