"model","dataset","strategy","mae","mse","r2","spearman","eval_s","inference_s","peak_gpu_mem_mb","prepare_data_s","prepare_model_s","train_head_s","activation","embedding_dim","epochs_run","head_repeats","head_type"
"all-MiniLM-L6-v2","wine_reviews","frozen","1.6199125146410065","4.2091525782401895","0.5797323422491709","0.7540307272479543","0.030112342908978462","108.48141457606107","671.591796875","50.69548243749887","27.55059461016208","101.68800852447748","relu","384","19","1","mlp"
"all-mpnet-base-v2","wine_reviews","frozen","1.5104656151921791","3.671393443870568","0.633425518639114","0.7918173806288774","0.024448132142424583","137.13440601411276","1578.66650390625","51.303974292008206","38.29025114211254","136.90002640499733","relu","768","30","1","mlp"
"potion-base-8M","wine_reviews","frozen","1.4010262125968271","3.190395379241162","0.681451321041601","0.8195015436228161","0.8884082071017474","29.21183113195002","401.873046875","50.34839578694664","0.40226583601906896","105.63008431415074","relu","256","22","1","mlp"
"potion-base-32M","wine_reviews","frozen","1.3550278299062475","2.9682801922468345","0.7036286661612738","0.8343511786782584","0.9001358258537948","33.27846867311746","0","50.467470315052196","0.7794252790044993","65.16186226694845","relu","512","18","1","mlp"
"deberta-v3-small","wine_reviews","frozen","1.4949250453386014","3.574766064807691","0.6430733899192601","0.7950672381226593","0.029478234006091952","93.42089258180931","2530.6962890625","50.07169066905044","18.815658423816785","50.590756139019504","relu","768","10","1","mlp"
"modernbert-base","wine_reviews","frozen","1.4996123043746161","3.6067334081106575","0.6398815739314274","0.7956860143090309","0.030265191569924355","199.11133469175547","1804.08935546875","50.134724747389555","20.364161887206137","58.1042401175946","relu","768","11","1","mlp"
"distilbert-base-uncased","wine_reviews","frozen","1.4220084066467888","3.254315959240664","0.6750690975562037","0.8186795511388931","0.02409014292061329","87.04374930402264","1485.81787109375","50.685917051974684","17.174740066053346","80.36615689611062","relu","768","17","1","mlp"
"roberta-base","wine_reviews","frozen","1.4163577205269366","3.2121200097074873","0.6792822004426509","0.8236171084398198","0.01679195510223508","97.45598775614053","1705.95947265625","48.81839928496629","31.548295710003003","36.653893917100504","relu","768","8","1","mlp"
"deberta-v3-base","wine_reviews","frozen","1.8211965986816658","5.288374869706021","0.4719761570798373","0.6834226330398847","0.025326539995148778","168.58819177909754","2902.1748046875","50.40728464582935","19.210265210829675","58.914560000179335","relu","768","13","1","mlp"
"electra-base-discriminator","wine_reviews","frozen","1.4026133939142431","3.1468484117118116","0.6857993178665018","0.8235594482703922","0.031126320362091064","101.66487341560423","1648.05810546875","50.46884429641068","21.615199032239616","85.50778666511178","relu","768","16","1","mlp"
"albert-base-v2","wine_reviews","frozen","1.3909873892465208","3.115547201721261","0.6889246230111767","0.8253166562738309","0.023766248021274805","161.20486842398532","1589.3291015625","50.68542346009053","11.60998510196805","97.56115833483636","relu","768","21","1","mlp"
"e5-base-v2","wine_reviews","frozen","1.3699249224393641","3.0326744618159442","0.6971991465985261","0.830494311330518","0.026357877999544144","102.5967991920188","1654.4921875","51.265722297132015","14.229881214909256","51.80335504002869","relu","768","11","1","mlp"
"bge-base-en-v1.5","wine_reviews","frozen","1.5124457731355758","3.677912313625484","0.6327746346257275","0.7924030137427894","0.020686850184574723","99.16531247808598","1650.31103515625","50.98868215200491","17.115928487153724","45.81615090603009","relu","768","10","1","mlp"
"modernbert-embed-base","wine_reviews","frozen","1.465386737163429","3.4203398220858525","0.6584922549087309","0.8099053314780829","0.02924356795847416","198.705174183473","1804.08935546875","52.146965202875435","23.595497434958816","69.8527898080647","relu","768","13","1","mlp"
"sentence-t5-base","wine_reviews","frozen","1.4289793786313207","3.2843905876576778","0.6720662618529113","0.8185579662201724","0.02353312517516315","141.86895166989416","1613.89697265625","50.364637702004984","20.348198611056432","83.56083238380961","relu","768","17","1","mlp"
"mxbai-embed-large-v1","wine_reviews","frozen","1.2855436349143838","2.6787695793581734","0.7325351847326664","0.85264486663778","0.02490132302045822","264.52216870710254","2823.52001953125","51.291321559110656","21.291708985809237","130.15767158102244","relu","1024","24","1","mlp"
