"model","dataset","strategy","mae","mse","r2","spearman","eval_s","inference_s","peak_gpu_mem_mb","prepare_data_s","prepare_model_s","train_head_s","activation","embedding_dim","epochs_run","head_repeats","head_type"
"all-MiniLM-L6-v2","wine_reviews","frozen","1.7020972599489836","4.631298362898323","0.5375827131136466","0.7266920233389204","0.017250596545636654","96.4716647779569","671.591796875","50.82519942894578","18.054208405315876","26.067294486798346","silu","384","10","1","mlp"
"all-mpnet-base-v2","wine_reviews","frozen","1.4441572221821268","3.3591067939349877","0.6646061367031308","0.8129804882218123","0.027665392495691776","140.65295096486807","1578.66650390625","51.830051155760884","26.20802161563188","151.67473477404565","silu","768","30","1","mlp"
"potion-base-8M","wine_reviews","frozen","1.5749701973559354","3.9769876380956224","0.6029131164769401","0.7738196480450283","0.49337486270815134","25.879486586898565","401.873046875","51.49220288079232","0.3438432263210416","32.28723398782313","silu","256","11","1","mlp"
"potion-base-32M","wine_reviews","frozen","1.4730359820264072","3.483017747686534","0.6522341056743564","0.8072438223173325","0.7750307349488139","36.8800113638863","768.83642578125","53.59421861008741","0.8544000119436532","66.75030411407351","silu","512","12","1","mlp"
"deberta-v3-small","wine_reviews","frozen","1.3382259176128013","2.887843090207833","0.7116600006975784","0.8391679032842332","0.022973201936110854","93.88957169814967","2530.6962890625","50.52403156203218","31.448471358045936","71.0859850042034","silu","768","15","1","mlp"
"modernbert-base","wine_reviews","frozen","1.3071065805510924","2.7742137708229415","0.7230054501727492","0.8453371077467826","0.0235186368227005","198.53528955299407","1804.08935546875","51.272087797988206","16.551295688143","102.7275664228946","silu","768","22","1","mlp"
"distilbert-base-uncased","wine_reviews","frozen","1.3325304327518492","2.8677610411176278","0.7136651158786267","0.842204404214899","0.03107460495084524","81.11604205798358","1485.81787109375","50.498425208963454","20.925377086736262","80.74915622733533","silu","768","15","1","mlp"
"roberta-base","wine_reviews","frozen","1.2908252281435715","2.7010446405976194","0.7303111057430489","0.8499818973930374","0.02913538832217455","95.81419698614627","1705.95947265625","52.169562723487616","20.0783932749182","99.54697147198021","silu","768","19","1","mlp"
"deberta-v3-base","wine_reviews","frozen","1.9266777627268354","5.882985442123738","0.4126065837752856","0.6478816606794999","0.024601873941719532","169.54089095187373","2902.1748046875","49.310886322986335","36.50028439704329","27.428544626105577","silu","768","6","1","mlp"
"electra-base-discriminator","wine_reviews","frozen","1.465954687810059","3.4408763189396248","0.6564417648704841","0.8072847387973507","0.03105523157864809","99.72964100260288","1648.05810546875","49.48682550061494","26.135229802690446","31.496227897703648","silu","768","6","1","mlp"
"albert-base-v2","wine_reviews","frozen","1.3316497055832932","2.8564496814429936","0.7147945115344199","0.84017304202713","0.024680894101038575","158.95225666905753","1589.3291015625","50.230637033004314","29.889964080881327","62.04322874895297","silu","768","14","1","mlp"
"e5-base-v2","wine_reviews","frozen","1.2098407956870236","2.3716959942348446","0.7631952983726635","0.8723762795907033","0.03202287666499615","103.01390212308615","1654.4921875","51.49864000733942","19.34584119450301","93.83999321423471","silu","768","17","1","mlp"
"bge-base-en-v1.5","wine_reviews","frozen","1.2994714896062434","2.7525508839529405","0.7251684059116412","0.8481793845672951","0.018398799002170563","100.91274708416313","1650.31103515625","50.14177914429456","21.911729509942234","75.17326125130057","silu","768","14","1","mlp"
"modernbert-embed-base","wine_reviews","frozen","1.304025341859669","2.7363204809561594","0.7267889490791832","0.8494548975447828","0.022748344810679555","197.7366092170123","1804.08935546875","50.56877990299836","32.03314213803969","51.24466941785067","silu","768","11","1","mlp"
"sentence-t5-base","wine_reviews","frozen","1.4403223564047594","3.3379764851530536","0.6667159165731322","0.8164820123376584","0.020493071526288986","141.71671749372035","1613.89697265625","51.66242683585733","25.330830513499677","49.34238120447844","silu","768","10","1","mlp"
"mxbai-embed-large-v1","wine_reviews","frozen","1.2506950816917015","2.5560475265342517","0.7447885085872857","0.8633197078977572","0.024922722950577736","266.38679864187725","2823.52001953125","51.17127052694559","33.3943957882002","62.45286921807565","silu","1024","14","1","mlp"
