"model","dataset","strategy","mae","mse","r2","spearman","eval_s","inference_s","peak_gpu_mem_mb","prepare_data_s","prepare_model_s","train_head_s","activation","embedding_dim","epochs_run","head_repeats","head_type"
"all-MiniLM-L6-v2","wine_reviews","frozen","1.489506073576556","3.6028755737782765","0.6402667638167364","0.7928753395847185","0.02047594985924661","105.4906515290495","671.591796875","50.641561169875786","22.203823389019817","136.14187616901472","tanh","384","30","1","mlp"
"all-mpnet-base-v2","wine_reviews","frozen","1.3491493127728869","2.9428931728283105","0.7061634621778057","0.8367503708937396","0.016745343804359436","134.70263158529997","1578.66650390625","52.867007001303136","16.717791768722236","80.2638350808993","tanh","768","30","1","mlp"
"potion-base-8M","wine_reviews","frozen","1.3542210223512197","2.9898868064664263","0.7014713290295822","0.8311763682180919","0.5133808720856905","25.591965280473232","401.873046875","51.6802789689973","0.34528528060764074","81.18771649431437","tanh","256","30","1","mlp"
"potion-base-32M","wine_reviews","frozen","1.2308743169398908","2.4751685306452273","0.7528639645209194","0.863236683700747","0.36255284678190947","26.75724057108164","768.83642578125","50.28089685924351","0.46918003633618355","80.52526761777699","tanh","512","30","1","mlp"
"deberta-v3-small","wine_reviews","frozen","1.3023923739900458","2.746153100734063","0.7258071999012189","0.8447387881166667","0.016832496970891953","89.72695488948375","2530.6962890625","54.73960748221725","20.417962382547557","52.908764788880944","tanh","768","20","1","mlp"
"modernbert-base","wine_reviews","frozen","1.4113579861739776","3.233331373237037","0.6771643275685837","0.8153485300028289","0.016738231293857098","188.25921559426934","1804.08935546875","49.733272129669785","6.918361929245293","23.51075561810285","tanh","768","9","1","mlp"
"distilbert-base-uncased","wine_reviews","frozen","1.2594244177425784","2.572298208179376","0.7431659406748852","0.8578548030917894","0.017173152416944504","74.10945890378207","1485.81787109375","51.56746586691588","14.103465367108583","68.3409340782091","tanh","768","26","1","mlp"
"roberta-base","wine_reviews","frozen","1.2176620683839625","2.4183620279465248","0.7585358748141265","0.8668990858472317","0.017202897928655148","92.93335213884711","1705.95947265625","51.67899677529931","13.628471417352557","73.17560081463307","tanh","768","28","1","mlp"
"deberta-v3-base","wine_reviews","frozen","1.7083173400006526","4.689558219045859","0.5317656910815629","0.718008217677027","0.016481121070683002","157.3059714315459","2902.1748046875","50.796897060237825","16.58723014499992","50.313157678581774","tanh","768","19","1","mlp"
"electra-base-discriminator","wine_reviews","frozen","1.2385890715777585","2.4976309442542313","0.7506211791194851","0.8598356891377146","0.025831207865849137","99.3515016969759","1648.05810546875","50.35574382916093","13.07763417600654","136.1950428429991","tanh","768","29","1","mlp"
"albert-base-v2","wine_reviews","frozen","1.363119175103057","2.9960280702567075","0.7008581475160123","0.8303251777466191","0.017359440214931965","143.02142957411706","1589.3291015625","51.17477793712169","6.9604972852393985","24.051829100586474","tanh","768","9","1","mlp"
"e5-base-v2","wine_reviews","frozen","1.238903334161954","2.4981761154329605","0.7505667458790409","0.860523012161385","0.016556682996451855","96.1448917798698","1654.4921875","52.663751122541726","14.196883078664541","26.73276033066213","tanh","768","10","1","mlp"
"bge-base-en-v1.5","wine_reviews","frozen","1.1800673277655922","2.3375432912744634","0.7666053140972586","0.8708594630758133","0.01698701549321413","93.55099478084594","1650.31103515625","50.596896681934595","15.107392059639096","78.36783691681921","tanh","768","30","1","mlp"
"modernbert-embed-base","wine_reviews","frozen","1.1821162882328364","2.279168037596011","0.7724338581279222","0.8758586037152162","0.016511667519807816","188.59911579359323","1804.08935546875","52.33342135511339","7.4313414972275496","63.08695061132312","tanh","768","23","1","mlp"
"sentence-t5-base","wine_reviews","frozen","1.3343231071618424","2.8895247637494714","0.7114920920776582","0.8397798107537272","0.024346208898350596","141.62297926400788","1613.89697265625","49.85740265902132","15.204506501788273","75.34136662795208","tanh","768","17","1","mlp"
"mxbai-embed-large-v1","wine_reviews","frozen","1.1942535522339262","2.3510350904747264","0.7652582099608936","0.8692365848763774","0.017288177274167538","259.8707967204973","2823.52001953125","52.654660906642675","17.3872675197199","74.40846668742597","tanh","1024","28","1","mlp"
