"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","frozen","12.444448240107723","2.7684849161770817","-0.24253018075626964","0.4422330614910516","20.20799922477454","37.46071504428983","79.80313776340336","163.97584230825305","0.016442476771771908","671.591796875","30","384","linear","3"
"all-mpnet-base-v2","wine_reviews","frozen","8.847486060483716","2.3221192320457367","0.11661262581809373","0.556594356575003","3.038256854750216","19.05227959435433","123.70213363040239","164.11304997000843","0.014451087452471256","1586.79150390625","30","768","linear","3"
"potion-base-8M","wine_reviews","frozen","11.160291574433552","2.629374264554668","-0.11431208838822382","0.511260365588633","0.25791927706450224","18.841167119331658","21.100852548144758","164.68201943393797","0.01425168663263321","401.04345703125","30","256","linear","3"
"potion-base-32M","wine_reviews","frozen","9.138351891586328","2.3754631662137067","0.08757079393269518","0.5784409621150151","0.4657414061948657","18.904176065698266","23.04390973225236","164.95506149157882","0.00983162596821785","785.08642578125","30","512","linear","3"
"deberta-v3-small","wine_reviews","frozen","3.8040583328192583","1.54368784104226","0.6201794409292034","0.7854255331113087","3.2400982286781073","19.0279684625566","85.06062038894743","156.0279628811404","0.012090356089174747","2538.8212890625","29","768","linear","3"
"modernbert-base","wine_reviews","frozen","3.702562225074018","1.5229321269289982","0.6303134359982896","0.7893546133724059","1.10860485304147","18.98110154643655","195.45256286207587","162.91384763736278","0.0101537574082613","1812.21435546875","30","768","linear","3"
"distilbert-base-uncased","wine_reviews","frozen","3.4760169318043523","1.4712885390171493","0.6529331101505447","0.8042211730813927","1.1586934039369226","18.977181361988187","60.14159724675119","163.01088315807283","0.01376100443303585","1493.94287109375","30","768","linear","3"
"roberta-base","wine_reviews","frozen","3.277857933913045","1.430900119614392","0.6727185221445309","0.8181516868559974","1.146488725207746","19.038678283803165","94.0908476356417","165.756891541183","0.013688863255083561","1714.08447265625","30","768","linear","3"
"deberta-v3-base","wine_reviews","frozen","5.947559917382939","1.935225210622513","0.4061590713691139","0.6363953239433977","3.2783102840185165","19.169858872890472","166.14444161951542","164.86603528261185","0.013181311078369617","2910.2998046875","30","768","linear","3"
"electra-base-discriminator","wine_reviews","frozen","3.396959022962786","1.4579093103230067","0.660826737563171","0.8095055668148282","1.892336112447083","19.01404169946909","95.75245395768434","165.2934012291953","0.014026045799255371","1656.18310546875","30","768","linear","3"
"albert-base-v2","wine_reviews","frozen","3.3565116503829318","1.4488749495007713","0.6648652517819684","0.8124351249568863","0.8903111005201936","19.24679926224053","158.88483886700124","152.45261975936592","0.01348213292658329","1597.4541015625","28","768","linear","3"
"e5-base-v2","wine_reviews","frozen","3.185024107804882","1.4090004227342658","0.6819876217871095","0.822631847439756","0.9615880819037557","18.961923851631582","98.32245672401041","161.11978941503912","0.013807384297251701","1662.6171875","29","768","linear","3"
"bge-base-en-v1.5","wine_reviews","frozen","3.788378324150756","1.5393237215819808","0.6217450293449551","0.786693121069367","1.045418743044138","18.75431860331446","95.34830802492797","165.1035648882389","0.013528072275221348","1658.43603515625","30","768","linear","3"
"modernbert-embed-base","wine_reviews","frozen","3.6978619897426173","1.5211573049572753","0.6307827363757141","0.7981198886106451","1.198810818605125","18.75138015858829","194.986099595204","165.83154700696468","0.013368073850870132","1812.21435546875","30","768","linear","3"
"sentence-t5-base","wine_reviews","frozen","3.4998047593695474","1.476696195222346","0.65055798727534","0.8057567460416493","4.8590268502011895","19.183271071873605","125.42882448993623","164.5501192174852","0.013288321904838085","1622.02197265625","30","768","linear","3"
"mxbai-embed-large-v1","wine_reviews","frozen","3.4018342760305065","1.4569377037177758","0.6603399623395059","0.8115393910150674","3.6062015304341912","18.787020845338702","254.75711782928556","144.75535525754094","0.013973287306725979","2831.64501953125","27","1024","linear","3"
