"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","finetune","2.8393568670655287","1.3077828734617154","0.7165011631535423","0.8675584447403327","2.9029487101361156","25.358993564732373","0","524.7913443669677","22.829305769875646","2618.6572265625","3","384","linear","1"
"all-mpnet-base-v2","wine_reviews","finetune","10.022782571533439","2.5730997652096033","-0.0007361997899577588","0.41428319824876053","3.084135594777763","25.745507024228573","0","1009.2184613496065","31.58637646306306","13802.34228515625","3","768","linear","1"
"potion-base-8M","wine_reviews","finetune","11.162655601577029","2.6320052850441855","-0.11454812738466802","0.5112991894256195","0.2559703765437007","25.812914832495153","31.988174421712756","103.40679853223264","0.01786947250366211","401.04345703125","30","256","linear","1"
"potion-base-32M","wine_reviews","finetune","9.138772180445146","2.374777084141182","0.08752882971044595","0.5782830293016868","0.3964645806699991","26.105111583136022","34.21331958565861","109.86270477995276","0.017636405304074287","785.08642578125","30","512","linear","1"
"deberta-v3-small","wine_reviews","finetune","10.311538921378121","2.906495228792501","-0.029567408104254955","0.8886450162759473","3.5292937234044075","25.9310209909454","0","781.0678190328181","28.771084995009005","12020.27685546875","3","768","linear","1"
"modernbert-base","wine_reviews","finetune","1.6452623846380352","0.9967333462847673","0.8357268937334507","0.9110178125528681","1.2836724240332842","26.022952479310334","0","1406.9539105622098","50.33600144647062","17060.0615234375","3","768","linear","1"
"distilbert-base-uncased","wine_reviews","finetune","2.019122516952733","1.1092700291133164","0.7983984008328668","0.8966136268538099","1.209721659310162","25.641228787600994","0","538.8004891723394","23.135334857739508","5408.32177734375","3","768","linear","1"
"roberta-base","wine_reviews","finetune","5.225677268590558","1.9459092470922317","0.4782362708385094","0.894739941883114","1.20865239482373","25.69014521781355","0","856.2488086847588","28.819972002878785","10414.5","3","768","linear","1"
"deberta-v3-base","wine_reviews","finetune","14.002602920566058","3.423011174659188","-0.3981059185793685","0.8727042984569848","3.5869576036930084","27.452897648327053","0","1339.8288701185957","45.36527341417968","22227.54541015625","3","768","linear","1"
"electra-base-discriminator","wine_reviews","finetune","7.5550050378415445","2.4494250930664183","0.24566187313721177","0.903777020808749","1.9612350054085255","25.67731698602438","0","883.8001662641764","32.05929799564183","10222.880859375","3","768","linear","1"
"albert-base-v2","wine_reviews","finetune","1.7534883434138444","1.0290366196368848","0.8249209489839819","0.9094071532946588","0.9890594007447362","26.409312015399337","0","1153.452941630967","43.540392995812","14754.81640625","3","768","linear","1"
"e5-base-v2","wine_reviews","finetune","4.086478382363862","1.7185953160323277","0.5919808877720718","0.9189969929163626","1.0910706035792828","26.50575406011194","0","898.9384489748627","32.613363857381046","10305.974609375","3","768","linear","1"
"bge-base-en-v1.5","wine_reviews","finetune","2.9658031309512647","1.4359626310335645","0.7038759911820336","0.927406361292993","1.070337075740099","25.09995246771723","0","883.742934467271","31.879328459501266","10227.38671875","3","768","linear","1"
"modernbert-embed-base","wine_reviews","finetune","1.341884456789242","0.8941063183501189","0.8660180102421373","0.9280527858845359","1.4394642366096377","25.819313150830567","0","1408.2851043865085","50.23608130495995","17060.0615234375","3","768","linear","1"
"sentence-t5-base","wine_reviews","finetune","2.5270797766955093","1.242304153511641","0.7476808267317923","0.8791160945283598","4.568056077696383","27.15875250287354","0","1026.5239387135953","30.566784033551812","15304.14599609375","3","768","linear","1"
"mxbai-embed-large-v1","wine_reviews","finetune","2.067247920365074","1.1672116282301082","0.7935932648359022","0.9355787581188264","3.2282477924600244","25.516333838924766","0","2366.8164494838566","63.85554107092321","27367.208984375","3","1024","linear","1"
