"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","frozen","12.454629407359716","2.768363860971542","-0.24354673105579638","0.44246442239874484","17.27698070462793","51.04639389459044","109.75248600170016","227.54888648539782","0.01854436844587326","671.591796875","30","384","linear","3"
"all-mpnet-base-v2","wine_reviews","frozen","8.84456395552499","2.321852417122556","0.11690438673288084","0.5569699080449345","3.2089909967035055","26.54982027411461","142.98650529701263","253.62415277585387","0.01553365495055914","1586.79150390625","30","768","linear","3"
"potion-base-8M","wine_reviews","frozen","11.141493411119633","2.626961507678586","-0.1124351642522825","0.5120045768818369","0.4252637829631567","25.83408540301025","31.573821569792926","254.70985873322934","0.01601684931665659","401.04345703125","30","256","linear","3"
"potion-base-32M","wine_reviews","frozen","9.144303849316014","2.376555548547538","0.08697651389946037","0.5784559215841925","0.7608628487214446","25.680223803967237","33.88330835662782","247.353472892195","0.013728163205087185","785.08642578125","30","512","linear","3"
"deberta-v3-small","wine_reviews","frozen","3.8164607181434755","1.5461037460400209","0.6189411105684373","0.7845103535280037","4.059092128649354","25.92578640487045","96.50313865765929","240.68492813315243","0.01512159314006567","2538.8212890625","26","768","linear","3"
"modernbert-base","wine_reviews","frozen","3.7084169279542927","1.5238562637377717","0.6297288664868302","0.7891729549420454","5.143183762207627","25.98425113875419","198.41884231194854","263.7785305157304","0.01617405377328396","1812.21435546875","29","768","linear","3"
"distilbert-base-uncased","wine_reviews","frozen","3.4656667166111967","1.4690184491435363","0.6539665392352806","0.8049526078769826","2.4008842641487718","25.36027237959206","84.40529440902174","254.96898249257356","0.015956679359078407","1493.94287109375","30","768","linear","3"
"roberta-base","wine_reviews","frozen","3.281188760079425","1.43130096192736","0.6723859519928674","0.8179966939949366","1.2940504113212228","27.34762215986848","96.41521735396236","257.8175823604688","0.01986644323915243","1714.08447265625","30","768","linear","3"
"deberta-v3-base","wine_reviews","frozen","6.0441377530345815","1.9503414080516892","0.39651614680757896","0.6298694640505647","3.7250771364197135","26.214019714854658","167.72698747832328","243.11896959133446","0.014847936108708382","2910.2998046875","26","768","linear","3"
"electra-base-discriminator","wine_reviews","frozen","3.393815263583427","1.457332377303833","0.661140629817333","0.8096793888024385","1.9728903397917747","25.265123234130442","101.76058304402977","292.9940841393545","0.015778683125972748","1656.18310546875","30","768","linear","3"
"albert-base-v2","wine_reviews","frozen","3.378649677167802","1.4538357347089252","0.662654855154343","0.8108253549673268","1.0501589579507709","26.64649335667491","157.74973064474761","200.95407440606505","0.015588783659040928","1597.4541015625","25","768","linear","3"
"e5-base-v2","wine_reviews","frozen","3.184652381807379","1.408625388310529","0.6820247371948768","0.8230435934487186","1.0880687050521374","27.36645119730383","104.99225757736713","247.26177790760994","0.015733037143945694","1662.6171875","30","768","linear","3"
"bge-base-en-v1.5","wine_reviews","frozen","3.778694999853249","1.5366499551081272","0.622711871944768","0.7872618526567582","1.0142754428088665","26.643492358736694","102.63714547548443","263.81808963418007","0.01586069632321596","1658.43603515625","30","768","linear","3"
"modernbert-embed-base","wine_reviews","frozen","3.714938183631483","1.5250592347435337","0.6290777442483029","0.7969611859408879","1.3337144646793604","25.770352595485747","198.13016395363957","242.5232829581946","0.015014421194791794","1812.21435546875","29","768","linear","3"
"sentence-t5-base","wine_reviews","frozen","3.5002556288534477","1.4769230484739666","0.6505129696955712","0.80570953151688","4.692761708050966","26.499463852494955","144.74485737457871","312.6174782291055","0.01362681109458208","1622.02197265625","30","768","linear","3"
"mxbai-embed-large-v1","wine_reviews","frozen","3.3522034765458337","1.446184705023101","0.665295406330668","0.8142166620761102","3.445975361391902","25.84709927625954","270.3977142199874","208.41675335913897","0.016161402687430382","2831.64501953125","30","1024","linear","3"
