"budget","regret","normalized_regret"
"1","0.2740371224700655","0.3164335143485586"
"2","0.2740371224700655","0.3164335143485586"
"3","0.07242474540623511","0.08362960648588043"
"4","0.041097061258155376","0.04745520390120374"
"5","0.041097061258155376","0.04745520390120374"
"6","0.041097061258155376","0.04745520390120374"
"7","0.041097061258155376","0.04745520390120374"
"8","0.030291116508686655","0.0349774671547735"
"9","0","0"
"10","0","0"
"11","0","0"
"12","0","0"
"13","0","0"
"14","0","0"
"15","0","0"
"16","0","0"
