"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","finetune","1.72812078417983","1.0232568025414994","0.8274538019761137","0.9064927913294997","2.935535540804267","25.329671540297568","0","519.0754699259996","22.640027723275125","2619.59228515625","3","384","mlp","1"
"all-mpnet-base-v2","wine_reviews","finetune","1.7838281079390639","1.043978079881069","0.8218916404624419","0.9104244725071955","3.1778052048757672","25.69981030933559","0","1012.5779404174536","31.290776500478387","13804.20751953125","3","768","mlp","1"
"potion-base-8M","wine_reviews","finetune","3.5979711347177563","1.496173397125387","0.6407564531492643","0.7955742029229825","0.26897516660392284","25.90148137975484","31.65310889109969","92.55305237043649","0.02527732029557228","401.04345703125","18","256","mlp","1"
"potion-base-32M","wine_reviews","finetune","3.2905108575464324","1.4294699200050847","0.671455176499473","0.8172534499113564","0.3950620563700795","25.386049546301365","33.75718305259943","118.84073651768267","0.021529166027903557","785.08642578125","23","512","mlp","1"
"deberta-v3-small","wine_reviews","finetune","14.752736190744326","3.6198804205576374","-0.47300383368193666","0.9078351318699716","3.488485432229936","26.540511109866202","0","776.5566518688574","28.870602223090827","12022.14208984375","3","768","mlp","1"
"modernbert-base","wine_reviews","finetune","1.582667677348812","0.974056704598874","0.8419767339402504","0.9148692539125735","1.209966966882348","25.364338376559317","0","1406.1383932260796","49.979802248999476","17061.9267578125","3","768","mlp","1"
"distilbert-base-uncased","wine_reviews","finetune","3.2663384075668502","1.4637696562948814","0.6738687024399523","0.8908045371775104","1.1784805320203304","25.18523781374097","0","535.5273866169155","23.19507207442075","5410.18701171875","3","768","mlp","1"
"roberta-base","wine_reviews","finetune","11.195021040114332","3.132491097173818","-0.11777969164690671","0.9219329210046062","1.2234038207679987","25.32509337272495","0","858.5392678482458","28.871864886023104","10416.365234375","3","768","mlp","1"
"deberta-v3-base","wine_reviews","finetune","14.918494516466673","3.628084104076956","-0.48955416347139646","0.906121704483339","3.590666684322059","25.81739211641252","0","1338.4434174410999","45.21616269554943","22229.41064453125","3","768","mlp","1"
"electra-base-discriminator","wine_reviews","finetune","8.508778851127406","2.660698229253883","0.1504312348833441","0.9154884004449786","1.960270568728447","25.270967610180378","0","885.9183649448678","31.991346517577767","10224.74609375","3","768","mlp","1"
"albert-base-v2","wine_reviews","finetune","1.7836936051944186","1.0437059168719618","0.8219050700429578","0.9023177287787836","0.9850968727841973","25.771118161268532","0","1155.0033038696274","43.37720517348498","14756.681640625","3","768","mlp","1"
"e5-base-v2","wine_reviews","finetune","4.021247258681047","1.7393514892862763","0.5984939639918208","0.9297169229366199","1.0534704886376858","25.3503773547709","0","900.4023799384013","32.52019324619323","10307.83984375","3","768","mlp","1"
"bge-base-en-v1.5","wine_reviews","finetune","4.6027356236599095","1.8158663255398846","0.5404345925111129","0.9029783736011362","1.0618801545351744","25.25091840699315","0","885.2251790426672","31.949538596905768","10229.251953125","3","768","mlp","1"
"modernbert-embed-base","wine_reviews","finetune","1.5307453306434269","0.9642932431686515","0.8471609800869944","0.9167685791227401","1.327686296775937","25.45995815191418","0","1408.1184642175213","50.029004951007664","17061.9267578125","3","768","mlp","1"
"sentence-t5-base","wine_reviews","finetune","1.7677716503959242","1.042644493059707","0.8234948158470349","0.905894042268215","4.305150494910777","25.905400598421693","0","1024.9696195609868","30.601161865517497","15305.63818359375","3","768","mlp","1"
"mxbai-embed-large-v1","wine_reviews","finetune","2.892689891465915","1.3787945275316802","0.7111760662774178","0.9078789133627132","3.2237748438492417","25.45610274001956","0","2370.6139394529164","64.39617260359228","27369.6943359375","3","1024","mlp","1"
