"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","frozen","4.284623235770765","1.6354707143562248","0.5721968880503232","0.7494958027295101","17.280611103400588","50.34871918335557","107.83714482095093","292.4903893433511","0.030685783363878727","671.591796875","19","384","mlp","3"
"all-mpnet-base-v2","wine_reviews","frozen","3.7392798260919466","1.527416605346873","0.6266473250908808","0.7881718518389117","3.1545985778793693","26.002881246618927","141.32714020181447","329.31225060485303","0.019706876017153263","1586.79150390625","21","768","mlp","3"
"potion-base-8M","wine_reviews","frozen","3.310608882161316","1.4293807326396768","0.6694484662238747","0.8128743502945442","0.2740064561367035","25.222830768674612","31.343849398195744","285.91801750008017","0.02582444902509451","401.04345703125","18","256","mlp","3"
"potion-base-32M","wine_reviews","frozen","3.1272084728794933","1.3940696511929198","0.68776029004273","0.8256426928910151","0.45195107720792294","25.106300147250295","33.66806898545474","268.29304946865886","0.02124704420566559","785.08642578125","17","512","mlp","3"
"deberta-v3-small","wine_reviews","frozen","3.527879600648034","1.4844396881833035","0.6477548226082209","0.7984772406429888","3.5777862844988704","25.47536899615079","94.75929192826152","193.14190804306418","0.024643965996801853","2538.8212890625","12","768","mlp","3"
"modernbert-base","wine_reviews","frozen","3.598455773699438","1.4993431069716352","0.6407080638153306","0.7950506285322133","1.2739378567785025","25.51939281076193","197.7079400140792","207.46935317106545","0.023280871100723743","1812.21435546875","13","768","mlp","3"
"distilbert-base-uncased","wine_reviews","frozen","3.3579886594806476","1.4448227890448395","0.6647177781177485","0.8119626751088217","1.2168402737006545","25.78243290260434","83.12952997442335","171.6065786741674","0.028274071402847767","1493.94287109375","11","768","mlp","3"
"roberta-base","wine_reviews","frozen","3.163806733896304","1.405013972630211","0.6841060947743516","0.8256068438200279","3.2101716129109263","25.357721127569675","96.42385422810912","170.36231005750597","0.01955400872975588","1714.08447265625","11","768","mlp","3"
"deberta-v3-base","wine_reviews","frozen","5.4855161792393945","1.8593277114968927","0.45229235734498385","0.6677450256158435","4.144272372126579","25.68058268353343","167.36323063913733","167.94738050736487","0.018533202819526196","2910.2998046875","11","768","mlp","3"
"electra-base-discriminator","wine_reviews","frozen","3.1115469095013286","1.3922261547569967","0.6893240367673521","0.8244764691434782","3.218804504722357","25.404916491359472","100.77921450138092","254.42813575360924","0.0257702199742198","1656.18310546875","16","768","mlp","3"
"albert-base-v2","wine_reviews","frozen","3.331335616408397","1.4413871980380135","0.667378981715312","0.8126031321657161","1.1829954916611314","25.83383972849697","158.28235798049718","134.4855840280652","0.022655594162642956","1597.4541015625","9","768","mlp","3"
"e5-base-v2","wine_reviews","frozen","2.9094259106281792","1.34133560252095","0.7095050392850111","0.8366512289837802","2.544706095010042","25.444750768132508","104.23708280455321","229.1878046747297","0.02304992265999317","1662.6171875","15","768","mlp","3"
"bge-base-en-v1.5","wine_reviews","frozen","3.7560605258982775","1.532539981357166","0.6249718369084175","0.7893587710945524","2.5990931848064065","25.507959252223372","101.17088529560715","193.52348454669118","0.02676912397146225","1658.43603515625","12","768","mlp","3"
"modernbert-embed-base","wine_reviews","frozen","3.274577583524044","1.4308278717020917","0.673046052484418","0.8211355361711664","3.342214258387685","25.200254691764712","197.89304834138602","241.45604599639773","0.022256514988839626","1812.21435546875","15","768","mlp","3"
"sentence-t5-base","wine_reviews","frozen","3.132098379222497","1.3916176256340156","0.6872720517460194","0.8253806639017365","5.677497990429401","25.96781202685088","145.3786285435781","347.95567639917135","0.02208882849663496","1622.02197265625","22","768","mlp","3"
"mxbai-embed-large-v1","wine_reviews","frozen","3.3208894297462663","1.4374160624011287","0.6684219931812345","0.8153336971713652","5.67898671515286","25.464995968155563","265.3591556651518","157.54692309722304","0.02179933339357376","2831.64501953125","10","1024","mlp","3"
