"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","finetune","1.7356424446033463","1.029669467056021","0.8267027931804407","0.9068273534006879","2.9169336979975924","24.984290799999144","0","477.3623384599996","22.049155534998135","2620.53466796875","3","384","mlp","1"
"all-mpnet-base-v2","wine_reviews","finetune","1.57013731821177","0.9761100793894417","0.8432278419928607","0.9166366976581768","2.9530180359979568","25.02032367999709","0","1005.1157874220007","30.942232787001558","13806.08740234375","3","768","mlp","1"
"potion-base-8M","wine_reviews","finetune","3.0478437429963887","1.3708595985706877","0.6956845523534929","0.8286306940317446","0.27314658500108635","24.95038922099775","30.4368797620009","100.09611688499717","0.02178065300176968","401.873046875","22","256","mlp","1"
"potion-base-32M","wine_reviews","finetune","3.1699418003828166","1.4023842028611087","0.6834935320376712","0.8236497592387602","0.47896690299967304","25.091476877001696","33.266078966997156","77.45037558799959","0.02161650199923315","785.08642578125","17","512","mlp","1"
"deberta-v3-small","wine_reviews","finetune","21.875919332711472","4.456826647892943","-1.184226209007742","0.8943457613246484","3.4390775760002725","25.141098675998364","0","781.3054648469988","28.41491599300207","12024.02197265625","3","768","mlp","1"
"modernbert-base","wine_reviews","finetune","2.1424911706095555","1.151486516548407","0.7860805163778672","0.8988527523049442","1.2208711640014371","24.96471092399952","0","1405.9798839140021","49.588942890004546","17063.806640625","3","768","mlp","1"
"distilbert-base-uncased","wine_reviews","finetune","1.9325419721465296","1.0911194704284304","0.8070431344451863","0.9055110084219279","1.2540272660044138","24.99094207300368","0","542.0584559769995","22.588580667004862","5412.06689453125","3","768","mlp","1"
"roberta-base","wine_reviews","finetune","8.752224321382803","2.6320435091513907","0.1261241432128729","0.8952886037818797","1.2144204419964808","25.242273183997895","0","854.9696325030018","28.521860535998712","10418.2451171875","3","768","mlp","1"
"deberta-v3-base","wine_reviews","finetune","17.137344599992765","3.942276144245839","-0.7110977901682498","0.9145807314859976","3.6422283860010793","25.627973570000904","0","1334.1973005099935","44.7416560069978","22231.29052734375","3","768","mlp","1"
"electra-base-discriminator","wine_reviews","finetune","10.3052428714442","2.899728929259562","-0.028938771790976592","0.8869591673337017","1.9987304469977971","25.124199234996922","0","881.384506770999","31.584420074999798","10226.6259765625","3","768","mlp","1"
"albert-base-v2","wine_reviews","finetune","1.9336523004645567","1.0863419589455514","0.8069322724431851","0.8979139594577638","0.966466270001547","25.30113431400241","0","1153.7223759519984","43.76653662099852","14758.5615234375","3","768","mlp","1"
"e5-base-v2","wine_reviews","finetune","4.145219579355001","1.723704318671268","0.5861158057124265","0.9173970043900205","1.0827657169938902","25.48676801900001","0","906.8719570209942","32.82853758299461","10309.7197265625","3","768","mlp","1"
"bge-base-en-v1.5","wine_reviews","finetune","2.5321910491844006","1.2834164111264244","0.7471704858788286","0.9160770098107706","1.1250678869982949","25.634149908997642","0","894.5293103540025","32.19091740799922","10231.1318359375","3","768","mlp","1"
"modernbert-embed-base","wine_reviews","finetune","1.4053576659699432","0.9207647910299481","0.8596804550082867","0.9233012287869589","1.395837478004978","25.69350019400008","0","1418.418045491002","50.39430322399858","17063.806640625","3","768","mlp","1"
"sentence-t5-base","wine_reviews","finetune","1.7193095891594103","1.0270081557748165","0.828333565829855","0.9072926538070308","4.331909311003983","26.358012233999034","0","1037.5646614940051","31.823028593003983","15307.14208984375","3","768","mlp","1"
"mxbai-embed-large-v1","wine_reviews","finetune","1.9678368556570782","1.1192068372696462","0.803519076396008","0.9245004822996556","3.4327272750015254","25.89569147399743","0","2388.2652807149934","65.78165536600136","27372.19921875","3","1024","mlp","1"
