"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","frozen","3.9018623152734704","1.5562081401395347","0.610414090336491","0.7750779057245817","22.288264197999524","50.6900100769999","108.5458795300001","347.25376122599846","0.025170741999318125","671.591796875","25","384","mlp","3"
"all-mpnet-base-v2","wine_reviews","frozen","3.737786689525718","1.5296028945082791","0.6267964090206568","0.7886825159631177","3.158752053997887","25.241379487000813","141.26903876600045","276.28306546800013","0.02288503200179548","1586.79150390625","20","768","mlp","3"
"potion-base-8M","wine_reviews","frozen","3.050841279534655","1.3694083677105722","0.6953852598862937","0.8291456448853081","0.3007481700005883","24.811623468998732","30.744794800997624","221.22616404400105","0.021637992998876143","402.8828125","16","256","mlp","3"
"potion-base-32M","wine_reviews","frozen","2.8317267162815183","1.3205826807326797","0.7172630042934571","0.8426533217791544","0.42841515200052527","25.309544247000304","33.668939339000644","363.48418663999837","0.018243773996800883","785.08642578125","26","512","mlp","3"
"deberta-v3-small","wine_reviews","frozen","3.516121303392566","1.4805107035898062","0.6489288432584203","0.7987094666323306","3.439572423001664","25.50753420899855","94.86493965400223","110.24207103200024","0.02143551599874627","2538.8212890625","8","768","mlp","3"
"modernbert-base","wine_reviews","frozen","3.628863724323207","1.5066521736715788","0.6376719471747223","0.7954106055184045","1.2553075379983056","25.029212617999292","200.54094363699915","116.2136860089995","0.020704237998870667","1812.21435546875","8","768","mlp","3"
"distilbert-base-uncased","wine_reviews","frozen","3.2773665128067178","1.4282777122565051","0.6727675886474638","0.817381134309592","1.286951180001779","24.953601192999486","87.4515953730006","192.41036947400062","0.020680814999650465","1493.94287109375","14","768","mlp","3"
"roberta-base","wine_reviews","frozen","3.0612237290340647","1.379947886763449","0.6943486123303485","0.8308799784014067","1.2480055119995086","24.716124200000195","96.18311127200286","242.44696930699865","0.022726199000317138","1714.08447265625","18","768","mlp","3"
"deberta-v3-base","wine_reviews","frozen","5.127505327095588","1.7965415669001892","0.4880383607228804","0.691640863824745","3.5849901440014946","25.094304054997338","167.47609193699827","181.99811589399906","0.021313746998202987","2910.2998046875","13","768","mlp","3"
"electra-base-discriminator","wine_reviews","frozen","3.0619165955511214","1.3805521144131245","0.6942794322797695","0.827001210762195","1.9618966710004315","24.728403585002525","100.60017049599992","232.41544357400198","0.02341504700234509","1656.18310546875","17","768","mlp","3"
"albert-base-v2","wine_reviews","frozen","3.1011420174089523","1.3867132681508154","0.6903629251296839","0.8249179619778872","0.9795324920014536","25.17298253500121","159.79913618700084","191.57938779300093","0.022741460998076946","1597.4541015625","14","768","mlp","3"
"e5-base-v2","wine_reviews","frozen","2.835293143917791","1.3265068616548104","0.7169069102433192","0.8418913039019144","1.0395750750030857","24.853877919002116","101.68843870899946","200.0909885479996","0.019584375997510506","1662.6171875","15","768","mlp","3"
"bge-base-en-v1.5","wine_reviews","frozen","3.1792441683635633","1.4058800837523455","0.6825647264574184","0.8206365028640399","1.0612195850007993","24.70809675500277","99.97140131700144","213.6700149669996","0.02264491599999019","1658.43603515625","16","768","mlp","3"
"modernbert-embed-base","wine_reviews","frozen","2.8620990870554817","1.3339713772853032","0.714230440163684","0.8413262675954555","1.3527249850012595","25.054075973999716","198.15867901299862","231.965494545002","0.022524816999066388","1812.21435546875","17","768","mlp","3"
"sentence-t5-base","wine_reviews","frozen","3.038154379581061","1.368308255625816","0.6966519979359382","0.8301746133845366","4.316931033998117","25.325190733001364","145.4104819109998","255.32782350300113","0.021644495998771163","1622.02197265625","19","768","mlp","3"
"mxbai-embed-large-v1","wine_reviews","frozen","2.90380663289718","1.342762870745797","0.7100661025029298","0.8384731400324712","3.207669339997665","24.924433015999966","266.56080524599747","186.2038773330023","0.021839895998709835","2831.64501953125","14","1024","mlp","3"
