model,frozen_r2,finetune_r2,delta_r2,frozen_mse,finetune_mse,frozen_mae,finetune_mae,frozen_spearman,finetune_spearman,finetune_skipped,diverged,finetune_epochs,frozen_inference_s,frozen_train_head_s,finetune_train_head_s,frozen_peak_gpu_mem_mb,finetune_peak_gpu_mem_mb
all-MiniLM-L6-v2,-0.2435467310557963,0.7165011631535423,0.9600478942093386,12.454629407359716,2.8393568670655287,2.768363860971542,1.3077828734617154,0.4424644223987448,0.8675584447403327,False,False,3,109.75248600170016,227.54888648539784,524.7913443669677,671.591796875,2618.6572265625
all-mpnet-base-v2,0.1169043867328808,-0.0007361997899577,-0.1176405865228385,8.84456395552499,10.02278257153344,2.321852417122556,2.5730997652096033,0.5569699080449345,0.4142831982487605,False,True,3,142.98650529701263,253.62415277585387,1009.2184613496064,1586.79150390625,13802.34228515625
potion-base-8M,-0.1124351642522825,-0.114548127384668,-0.002112963132385501,11.141493411119631,11.162655601577027,2.626961507678586,2.6320052850441855,0.5120045768818369,0.5112991894256195,True,False,30,31.573821569792926,254.70985873322937,103.40679853223264,401.04345703125,401.04345703125
potion-base-32M,0.0869765138994603,0.0875288297104459,0.0005523158109855958,9.144303849316014,9.138772180445146,2.376555548547538,2.374777084141182,0.5784559215841925,0.5782830293016868,True,False,30,33.88330835662782,247.353472892195,109.86270477995276,785.08642578125,785.08642578125
deberta-v3-small,0.6189411105684373,-0.0295674081042549,-0.6485085186726922,3.816460718143475,10.31153892137812,1.5461037460400209,2.906495228792501,0.7845103535280037,0.8886450162759473,False,True,3,96.50313865765928,240.68492813315245,781.0678190328181,2538.8212890625,12020.27685546875
modernbert-base,0.6297288664868302,0.8357268937334507,0.20599802724662042,3.7084169279542927,1.6452623846380352,1.5238562637377715,0.9967333462847672,0.7891729549420454,0.911017812552868,False,False,3,198.41884231194857,263.7785305157304,1406.9539105622098,1812.21435546875,17060.0615234375
distilbert-base-uncased,0.6539665392352806,0.7983984008328668,0.14443186159758625,3.4656667166111967,2.019122516952733,1.4690184491435363,1.1092700291133164,0.8049526078769826,0.8966136268538099,False,False,3,84.40529440902174,254.96898249257356,538.8004891723394,1493.94287109375,5408.32177734375
roberta-base,0.6723859519928674,0.4782362708385094,-0.19414968115435804,3.281188760079425,5.225677268590558,1.43130096192736,1.9459092470922317,0.8179966939949366,0.894739941883114,False,False,3,96.41521735396236,257.8175823604688,856.2488086847588,1714.08447265625,10414.5
deberta-v3-base,0.3965161468075789,-0.3981059185793685,-0.7946220653869474,6.0441377530345815,14.002602920566058,1.9503414080516892,3.423011174659188,0.6298694640505647,0.8727042984569848,False,True,3,167.72698747832328,243.1189695913345,1339.8288701185957,2910.2998046875,22227.54541015625
electra-base-discriminator,0.661140629817333,0.2456618731372117,-0.41547875668012135,3.393815263583427,7.555005037841544,1.457332377303833,2.4494250930664183,0.8096793888024385,0.903777020808749,False,False,3,101.76058304402976,292.9940841393545,883.8001662641764,1656.18310546875,10222.880859375
albert-base-v2,0.662654855154343,0.8249209489839819,0.16226609382963897,3.378649677167802,1.7534883434138444,1.4538357347089252,1.0290366196368848,0.8108253549673268,0.9094071532946588,False,False,3,157.7497306447476,200.95407440606505,1153.452941630967,1597.4541015625,14754.81640625
e5-base-v2,0.6820247371948768,0.5919808877720718,-0.09004384942280497,3.184652381807379,4.086478382363862,1.408625388310529,1.7185953160323275,0.8230435934487186,0.9189969929163626,False,False,3,104.99225757736713,247.2617779076099,898.9384489748627,1662.6171875,10305.974609375
bge-base-en-v1.5,0.622711871944768,0.7038759911820336,0.08116411923726563,3.778694999853249,2.9658031309512647,1.5366499551081272,1.4359626310335645,0.7872618526567582,0.927406361292993,False,False,3,102.63714547548445,263.81808963418007,883.742934467271,1658.43603515625,10227.38671875
modernbert-embed-base,0.6290777442483029,0.8660180102421373,0.23694026599383444,3.714938183631483,1.341884456789242,1.5250592347435337,0.8941063183501189,0.7969611859408879,0.928052785884536,False,False,3,198.13016395363957,242.5232829581946,1408.2851043865085,1812.21435546875,17060.0615234375
sentence-t5-base,0.6505129696955712,0.7476808267317923,0.0971678570362211,3.5002556288534477,2.5270797766955093,1.4769230484739666,1.242304153511641,0.80570953151688,0.8791160945283598,False,False,3,144.74485737457871,312.6174782291055,1026.5239387135953,1622.02197265625,15304.14599609375
mxbai-embed-large-v1,0.665295406330668,0.7935932648359022,0.12829785850523423,3.3522034765458337,2.067247920365074,1.446184705023101,1.1672116282301082,0.8142166620761102,0.9355787581188264,False,False,3,270.3977142199874,208.41675335913897,2366.816449483857,2831.64501953125,27367.208984375
