model,frozen_r2,finetune_r2,delta_r2,frozen_mse,finetune_mse,frozen_mae,finetune_mae,frozen_spearman,finetune_spearman,finetune_skipped,diverged,finetune_epochs,frozen_inference_s,frozen_train_head_s,finetune_train_head_s,frozen_peak_gpu_mem_mb,finetune_peak_gpu_mem_mb
all-MiniLM-L6-v2,0.610414090336491,0.8267027931804407,0.21628870284394974,3.9018623152734704,1.7356424446033465,1.556208140139535,1.029669467056021,0.7750779057245817,0.906827353400688,False,False,3,108.5458795300001,347.25376122599846,477.3623384599996,671.591796875,2620.53466796875
all-mpnet-base-v2,0.6267964090206568,0.8432278419928607,0.2164314329722039,3.737786689525718,1.57013731821177,1.5296028945082791,0.9761100793894416,0.7886825159631177,0.9166366976581768,False,False,3,141.26903876600045,276.28306546800013,1005.1157874220008,1586.79150390625,13806.08740234375
potion-base-8M,0.6953852598862937,0.6956845523534929,0.0002992924671991748,3.050841279534655,3.0478437429963887,1.3694083677105722,1.3708595985706875,0.8291456448853081,0.8286306940317446,True,False,22,30.744794800997624,221.22616404400105,100.09611688499716,402.8828125,401.873046875
potion-base-32M,0.7172630042934571,0.6834935320376712,-0.03376947225578597,2.8317267162815183,3.1699418003828166,1.3205826807326797,1.4023842028611089,0.8426533217791544,0.8236497592387602,True,False,17,33.668939339000644,363.4841866399984,77.45037558799959,785.08642578125,785.08642578125
deberta-v3-small,0.6489288432584203,-1.184226209007742,-1.8331550522661622,3.516121303392566,21.875919332711472,1.4805107035898062,4.456826647892943,0.7987094666323306,0.8943457613246484,False,True,3,94.86493965400224,110.24207103200024,781.3054648469988,2538.8212890625,12024.02197265625
modernbert-base,0.6376719471747223,0.7860805163778672,0.14840856920314494,3.628863724323207,2.1424911706095555,1.5066521736715788,1.151486516548407,0.7954106055184045,0.8988527523049442,False,False,3,200.54094363699917,116.2136860089995,1405.979883914002,1812.21435546875,17063.806640625
distilbert-base-uncased,0.6727675886474638,0.8070431344451863,0.1342755457977225,3.2773665128067178,1.9325419721465296,1.4282777122565051,1.0911194704284304,0.817381134309592,0.905511008421928,False,False,3,87.4515953730006,192.41036947400065,542.0584559769995,1493.94287109375,5412.06689453125
roberta-base,0.6943486123303485,0.1261241432128729,-0.5682244691174756,3.0612237290340647,8.752224321382803,1.379947886763449,2.6320435091513907,0.8308799784014067,0.8952886037818797,False,False,3,96.18311127200286,242.44696930699865,854.9696325030018,1714.08447265625,10418.2451171875
deberta-v3-base,0.4880383607228804,-0.7110977901682498,-1.1991361508911302,5.127505327095588,17.137344599992765,1.7965415669001892,3.942276144245839,0.691640863824745,0.9145807314859976,False,True,3,167.47609193699827,181.99811589399903,1334.1973005099935,2910.2998046875,22231.29052734375
electra-base-discriminator,0.6942794322797695,-0.0289387717909765,-0.723218204070746,3.0619165955511214,10.3052428714442,1.3805521144131243,2.899728929259562,0.827001210762195,0.8869591673337017,False,True,3,100.60017049599992,232.415443574002,881.384506770999,1656.18310546875,10226.6259765625
albert-base-v2,0.6903629251296839,0.8069322724431851,0.11656934731350121,3.1011420174089523,1.9336523004645567,1.3867132681508154,1.0863419589455514,0.8249179619778872,0.8979139594577638,False,False,3,159.79913618700084,191.57938779300093,1153.7223759519984,1597.4541015625,14758.5615234375
e5-base-v2,0.7169069102433192,0.5861158057124265,-0.1307911045308927,2.835293143917791,4.145219579355001,1.3265068616548104,1.723704318671268,0.8418913039019144,0.9173970043900204,False,False,3,101.68843870899946,200.0909885479996,906.8719570209942,1662.6171875,10309.7197265625
bge-base-en-v1.5,0.6825647264574184,0.7471704858788286,0.06460575942141022,3.1792441683635633,2.5321910491844006,1.4058800837523455,1.2834164111264244,0.8206365028640399,0.9160770098107706,False,False,3,99.97140131700144,213.6700149669996,894.5293103540025,1658.43603515625,10231.1318359375
modernbert-embed-base,0.714230440163684,0.8596804550082867,0.14545001484460274,2.8620990870554817,1.4053576659699432,1.3339713772853032,0.920764791029948,0.8413262675954555,0.9233012287869587,False,False,3,198.15867901299865,231.965494545002,1418.418045491002,1812.21435546875,17063.806640625
sentence-t5-base,0.6966519979359382,0.828333565829855,0.13168156789391672,3.038154379581061,1.7193095891594103,1.368308255625816,1.0270081557748163,0.8301746133845366,0.9072926538070308,False,False,3,145.4104819109998,255.32782350300113,1037.5646614940051,1622.02197265625,15307.14208984375
mxbai-embed-large-v1,0.7100661025029298,0.803519076396008,0.09345297389307816,2.90380663289718,1.9678368556570784,1.342762870745797,1.1192068372696462,0.8384731400324712,0.9245004822996556,False,False,3,266.56080524599747,186.2038773330023,2388.2652807149934,2831.64501953125,27372.19921875
