head,model,frozen_total_s,finetune_total_s,frozen_peak_gpu_mem_mb,finetune_peak_gpu_mem_mb,finetune_epochs,finetune_skipped
FCH,all-MiniLM-L6-v2,337.301372487098,524.7913443669677,671.591796875,2618.6572265625,3,False
FCH,all-mpnet-base-v2,396.6106580728665,1009.2184613496064,1586.79150390625,13802.34228515625,3,False
FCH,potion-base-8M,286.28368030302227,103.40679853223264,401.04345703125,401.04345703125,30,True
FCH,potion-base-32M,281.2367812488228,109.86270477995276,785.08642578125,785.08642578125,30,True
FCH,deberta-v3-small,337.1880667908117,781.0678190328181,2538.8212890625,12020.27685546875,3,False
FCH,modernbert-base,462.1973728276789,1406.9539105622098,1812.21435546875,17060.0615234375,3,False
FCH,distilbert-base-uncased,339.3742769015953,538.8004891723394,1493.94287109375,5408.32177734375,3,False
FCH,roberta-base,354.23279971443117,856.2488086847588,1714.08447265625,10414.5,3,False
FCH,deberta-v3-base,410.84595706965774,1339.8288701185957,2910.2998046875,22227.54541015625,3,False
FCH,electra-base-discriminator,394.7546671833843,883.8001662641764,1656.18310546875,10222.880859375,3,False
FCH,albert-base-v2,358.70380505081266,1153.452941630967,1597.4541015625,14754.81640625,3,False
FCH,e5-base-v2,352.25403548497707,898.9384489748627,1662.6171875,10305.974609375,3,False
FCH,bge-base-en-v1.5,366.4552351096645,883.742934467271,1658.43603515625,10227.38671875,3,False
FCH,modernbert-embed-base,440.6534469118342,1408.2851043865085,1812.21435546875,17060.0615234375,3,False
FCH,sentence-t5-base,457.3623356036842,1026.5239387135953,1622.02197265625,15304.14599609375,3,False
FCH,mxbai-embed-large-v1,478.81446757912636,2366.816449483857,2831.64501953125,27367.208984375,3,False
MLP_128,all-MiniLM-L6-v2,400.32753416430205,519.0754699259996,671.591796875,2619.59228515625,3,False
MLP_128,all-mpnet-base-v2,470.6393908066675,1012.5779404174536,1586.79150390625,13804.20751953125,3,False
MLP_128,potion-base-8M,317.2618668982759,92.55305237043648,401.04345703125,401.04345703125,18,True
MLP_128,potion-base-32M,301.9611184541136,118.84073651768269,785.08642578125,785.08642578125,23,True
MLP_128,deberta-v3-small,287.9011999713257,776.5566518688574,2538.8212890625,12022.14208984375,3,False
MLP_128,modernbert-base,405.17729318514466,1406.1383932260796,1812.21435546875,17061.9267578125,3,False
MLP_128,distilbert-base-uncased,254.73610864859074,535.5273866169155,1493.94287109375,5410.18701171875,3,False
MLP_128,roberta-base,266.7861642856151,858.5392678482458,1714.08447265625,10416.365234375,3,False
MLP_128,deberta-v3-base,335.3106111465022,1338.4434174411,2910.2998046875,22229.41064453125,3,False
MLP_128,electra-base-discriminator,355.20735025499016,885.9183649448678,1656.18310546875,10224.74609375,3,False
MLP_128,albert-base-v2,292.7679420085624,1155.0033038696274,1597.4541015625,14756.681640625,3,False
MLP_128,e5-base-v2,333.4248874792829,900.4023799384013,1662.6171875,10307.83984375,3,False
MLP_128,bge-base-en-v1.5,294.6943698422984,885.2251790426672,1658.43603515625,10229.251953125,3,False
MLP_128,modernbert-embed-base,439.34909433778375,1408.1184642175213,1812.21435546875,17061.9267578125,3,False
MLP_128,sentence-t5-base,493.33430494274944,1024.9696195609868,1622.02197265625,15305.63818359375,3,False
MLP_128,mxbai-embed-large-v1,422.9060787623748,2370.6139394529164,2831.64501953125,27369.6943359375,3,False
MLP_256,all-MiniLM-L6-v2,455.79964075599855,477.3623384599996,671.591796875,2620.53466796875,3,False
MLP_256,all-mpnet-base-v2,417.5521042340006,1005.1157874220008,1586.79150390625,13806.08740234375,3,False
MLP_256,potion-base-8M,251.97095884499868,100.09611688499716,402.8828125,401.873046875,22,True
MLP_256,potion-base-32M,397.15312597899907,77.45037558799959,785.08642578125,785.08642578125,17,True
MLP_256,deberta-v3-small,205.10701068600247,781.3054648469988,2538.8212890625,12024.02197265625,3,False
MLP_256,modernbert-base,316.75462964599865,1405.979883914002,1812.21435546875,17063.806640625,3,False
MLP_256,distilbert-base-uncased,279.8619648470012,542.0584559769995,1493.94287109375,5412.06689453125,3,False
MLP_256,roberta-base,338.6300805790015,854.9696325030018,1714.08447265625,10418.2451171875,3,False
MLP_256,deberta-v3-base,349.47420783099733,1334.1973005099935,2910.2998046875,22231.29052734375,3,False
MLP_256,electra-base-discriminator,333.0156140700019,881.384506770999,1656.18310546875,10226.6259765625,3,False
MLP_256,albert-base-v2,351.3785239800018,1153.7223759519984,1597.4541015625,14758.5615234375,3,False
MLP_256,e5-base-v2,301.77942725699904,906.8719570209942,1662.6171875,10309.7197265625,3,False
MLP_256,bge-base-en-v1.5,313.641416284001,894.5293103540025,1658.43603515625,10231.1318359375,3,False
MLP_256,modernbert-embed-base,430.1241735580006,1418.418045491002,1812.21435546875,17063.806640625,3,False
MLP_256,sentence-t5-base,400.73830541400093,1037.5646614940051,1622.02197265625,15307.14208984375,3,False
MLP_256,mxbai-embed-large-v1,452.7646825789998,2388.2652807149934,2831.64501953125,27372.19921875,3,False
MLP_512,all-MiniLM-L6-v2,384.70222345399816,513.5528341370009,739.43359375,2622.41943359375,3,False
MLP_512,all-mpnet-base-v2,368.2153743850031,1000.0716795280024,1586.79150390625,13809.84716796875,3,False
MLP_512,potion-base-8M,261.20062585600317,119.719362369,514.123046875,512.10546875,22,True
MLP_512,potion-base-32M,291.6904808640029,92.93410696499996,791.4404296875,787.4228515625,18,True
MLP_512,deberta-v3-small,163.1193238969936,791.4155714510016,2538.8212890625,12027.78173828125,3,False
MLP_512,modernbert-base,452.7504024539994,1398.7503878579992,1812.21435546875,17067.56640625,3,False
MLP_512,distilbert-base-uncased,289.9555274429986,551.3357302240038,1493.94287109375,5415.82666015625,3,False
MLP_512,roberta-base,316.5741210260021,854.5460698999959,1714.08447265625,10422.0048828125,3,False
MLP_512,deberta-v3-base,356.28525904300113,1331.6478494750045,2910.2998046875,22235.05029296875,3,False
MLP_512,electra-base-discriminator,292.51013590000366,880.6907857689948,1656.18310546875,10230.3857421875,3,False
MLP_512,albert-base-v2,312.74202857399723,1144.737418933997,1597.4541015625,14762.3212890625,3,False
MLP_512,e5-base-v2,369.92375862300105,894.2517839869979,1662.6171875,10313.4794921875,3,False
MLP_512,bge-base-en-v1.5,316.8113505399997,882.5759169999947,1658.43603515625,10234.8916015625,3,False
MLP_512,modernbert-embed-base,507.74650276800094,1399.6851069019976,1812.21435546875,17067.56640625,3,False
MLP_512,sentence-t5-base,332.80531002600037,1028.0986897339972,1622.02197265625,15310.14990234375,3,False
MLP_512,mxbai-embed-large-v1,512.6412958159999,2354.8334793359973,2831.64501953125,27377.208984375,3,False
