model,FCH,MLP_128,MLP_256,MLP_512
all-MiniLM-L6-v2,0.7165011631535423,0.8274538019761137,0.8267027931804407,0.8180785783703542
all-mpnet-base-v2,-0.0007361997899577,0.8218916404624419,0.8432278419928607,0.8291711194516579
potion-base-8M,-0.114548127384668,0.6407564531492643,0.6956845523534929,0.7105005786353955
potion-base-32M,0.0875288297104459,0.671455176499473,0.6834935320376712,0.7283804652914495
deberta-v3-small,-0.0295674081042549,-0.4730038336819366,-1.184226209007742,-0.5057485646545838
modernbert-base,0.8357268937334507,0.8419767339402504,0.7860805163778672,0.7863663591187382
distilbert-base-uncased,0.7983984008328668,0.6738687024399523,0.8070431344451863,0.44703601916453
roberta-base,0.4782362708385094,-0.1177796916469067,0.1261241432128729,0.4098060968720433
deberta-v3-base,-0.3981059185793685,-0.4895541634713964,-0.7110977901682498,-1.3162270055009588
electra-base-discriminator,0.2456618731372117,0.1504312348833441,-0.0289387717909765,-0.0849305134569131
albert-base-v2,0.8249209489839819,0.8219050700429578,0.8069322724431851,0.8143533078677982
e5-base-v2,0.5919808877720718,0.5984939639918208,0.5861158057124265,0.4927446357058079
bge-base-en-v1.5,0.7038759911820336,0.5404345925111129,0.7471704858788286,0.5652882378630943
modernbert-embed-base,0.8660180102421373,0.8471609800869944,0.8596804550082867,0.8544328584806326
sentence-t5-base,0.7476808267317923,0.8234948158470349,0.828333565829855,0.813165696614683
mxbai-embed-large-v1,0.7935932648359022,0.7111760662774178,0.803519076396008,0.7882256704416832
