model,FCH,MLP_128,MLP_256,MLP_512
all-MiniLM-L6-v2,-0.2435467310557963,0.5721968880503232,0.610414090336491,0.6400222290286681
all-mpnet-base-v2,0.1169043867328808,0.6266473250908808,0.6267964090206568,0.6432182440876602
potion-base-8M,-0.1124351642522825,0.6694484662238747,0.6953852598862937,0.7211110263296754
potion-base-32M,0.0869765138994603,0.68776029004273,0.7172630042934571,0.7419094933970288
deberta-v3-small,0.6189411105684373,0.6477548226082209,0.6489288432584203,0.6249423294736991
modernbert-base,0.6297288664868302,0.6407080638153306,0.6376719471747223,0.6877475177895633
distilbert-base-uncased,0.6539665392352806,0.6647177781177485,0.6727675886474638,0.6935237316278495
roberta-base,0.6723859519928674,0.6841060947743516,0.6943486123303485,0.698373227010561
deberta-v3-base,0.3965161468075789,0.4522923573449838,0.4880383607228804,0.49182829046253
electra-base-discriminator,0.661140629817333,0.6893240367673521,0.6942794322797695,0.6976039154751297
albert-base-v2,0.662654855154343,0.667378981715312,0.6903629251296839,0.6919299013167086
e5-base-v2,0.6820247371948768,0.7095050392850111,0.7169069102433192,0.7433304480634172
bge-base-en-v1.5,0.622711871944768,0.6249718369084175,0.6825647264574184,0.7214831657158021
modernbert-embed-base,0.6290777442483029,0.673046052484418,0.714230440163684,0.7450371302018721
sentence-t5-base,0.6505129696955712,0.6872720517460194,0.6966519979359382,0.6901201587185554
mxbai-embed-large-v1,0.665295406330668,0.6684219931812345,0.7100661025029298,0.7494156425390237
