"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","frozen","3.6053246897515963","1.4930741424921776","0.6400222290286681","0.7930361169683772","18.272930937000638","50.16906753100193","104.96487213699947","279.7373513169987","0.027227767001022585","739.43359375","19","384","mlp","3"
"all-mpnet-base-v2","wine_reviews","frozen","3.573315291032585","1.4914912375250184","0.6432182440876602","0.7976404465406157","4.545775916998537","25.142709466002998","138.45506939500046","229.76030499000262","0.02403757999854861","1586.79150390625","16","768","mlp","3"
"potion-base-8M","wine_reviews","frozen","2.7931872008651877","1.3079153277412654","0.7211110263296754","0.8443624848947374","0.3980683619993215","26.832296512002358","29.5527924779999","231.64783337800327","0.023457890001736814","514.123046875","16","256","mlp","3"
"potion-base-32M","wine_reviews","frozen","2.584882041842225","1.2591098626446184","0.7419094933970288","0.8575351673406967","0.46711177500037593","24.647589054999116","32.23301748599988","259.457463378003","0.02396362999934354","791.4404296875","18","512","mlp","3"
"deberta-v3-small","wine_reviews","frozen","3.756356054932291","1.534530011164824","0.6249423294736991","0.7844357698057564","3.556348218000494","25.341695841998444","91.70875935899676","71.41056453799683","0.023189221999928122","2538.8212890625","5","768","mlp","3"
"modernbert-base","wine_reviews","frozen","3.127336392221739","1.395242168989881","0.6877475177895633","0.8241277367391979","1.2830321470028139","25.02653678900242","196.60103568299746","256.14936677100195","0.026290704001439735","1812.21435546875","18","768","mlp","3"
"distilbert-base-uncased","wine_reviews","frozen","3.0694852468349962","1.379026844842651","0.6935237316278495","0.8275624567368631","1.2427570280015061","25.719421640998917","85.36524242899759","204.59028501400098","0.02678520400149864","1493.94287109375","14","768","mlp","3"
"roberta-base","wine_reviews","frozen","3.0209155660212366","1.3713240337020443","0.698373227010561","0.8326069271719757","1.2739342479981133","25.71453921200009","94.77771427700281","221.7964067489993","0.02330046900169691","1714.08447265625","15","768","mlp","3"
"deberta-v3-base","wine_reviews","frozen","5.089547629802466","1.7901789416588862","0.49182829046253007","0.6936859025704087","3.5855664670016267","24.991276905999257","167.71088667200092","188.5743723710002","0.022455555001215544","2910.2998046875","13","768","mlp","3"
"electra-base-discriminator","wine_reviews","frozen","3.0286205358734506","1.3728740804377588","0.6976039154751297","0.8291304336888566","2.127389047000179","24.620718292000674","99.15861177600164","193.35152412400203","0.024850172001606552","1656.18310546875","13","768","mlp","3"
"albert-base-v2","wine_reviews","frozen","3.0854481096432345","1.3826773513074475","0.6919299013167086","0.8264295871086405","1.0373809539996728","25.78427706599905","156.89156149799965","155.85046707599759","0.02551901599872508","1597.4541015625","10","768","mlp","3"
"e5-base-v2","wine_reviews","frozen","2.5706505993619735","1.2574279523604945","0.7433304480634172","0.8561256786384472","1.0771998739983246","24.67503057400245","100.80066169400015","269.1230969290009","0.024239995000243653","1662.6171875","19","768","mlp","3"
"bge-base-en-v1.5","wine_reviews","frozen","2.7894600726227656","1.3099542848895949","0.7214831657158021","0.8446484289496404","1.1776142899980186","26.21361153899852","98.91940388900184","217.89194665099785","0.022046780002710875","1658.43603515625","15","768","mlp","3"
"modernbert-embed-base","wine_reviews","frozen","2.553557479320904","1.2594250797688566","0.7450371302018721","0.8598819615490852","1.3144066680033575","26.455768050996994","197.46215175200268","310.28435101599825","0.02634644399950048","1812.21435546875","21","768","mlp","3"
"sentence-t5-base","wine_reviews","frozen","3.1035734223635485","1.3851934281464255","0.6901201587185554","0.8268956797893506","4.605656907999219","26.19020518400066","141.78549166200173","191.01981836399864","0.02058743900124682","1622.02197265625","13","768","mlp","3"
"mxbai-embed-large-v1","wine_reviews","frozen","2.5097048864485196","1.2431870153245186","0.7494156425390237","0.8606205891962612","3.2250782160008384","25.090580771000532","265.38944059500136","247.25185522099855","0.020042764997924678","2831.64501953125","17","1024","mlp","3"
