"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","frozen","4.130740201901078","1.6000618807573228","0.5875615157300933","0.7597877197486682","15.959547695703804","50.93373548146337","96.190763393417","82.37046943884343","0.05003245081752539","671.591796875","30","384","mlp","1"
"all-mpnet-base-v2","wine_reviews","frozen","3.820554122832312","1.5469946961165157","0.6185323998912104","0.782901747434482","4.5999399572610855","25.732112424448133","132.82271144911647","44.9546424401924","0.013917641714215279","1586.79150390625","16","768","mlp","1"
"potion-base-8M","wine_reviews","frozen","3.119155572479667","1.3854936639215372","0.6885643411019935","0.824279553101584","0.3776641311123967","25.83286927267909","25.419709553942084","67.22169075440615","0.071969342418015","401.873046875","25","256","mlp","1"
"potion-base-32M","wine_reviews","frozen","2.9489106350533003","1.3510825306766492","0.7055626417732487","0.8365407089087518","0.7457959447056055","25.900352789089084","27.19008349440992","51.81269584223628","0.0108668003231287","785.08642578125","19","512","mlp","1"
"deberta-v3-small","wine_reviews","frozen","3.2241247222505534","1.4198127535141023","0.6780835761759687","0.8150466407051307","3.5287070786580443","26.170383347198367","86.91392942611128","52.0484338933602","0.012414016760885715","2538.8212890625","19","768","mlp","1"
"modernbert-base","wine_reviews","frozen","3.8731812579982767","1.5571328497538144","0.6132777833337884","0.7827975730373133","2.5754534462466836","25.99486468732357","188.49856397043914","16.818590987473726","0.014844780787825584","1812.21435546875","6","768","mlp","1"
"distilbert-base-uncased","wine_reviews","frozen","3.4279653906170107","1.4629386149114616","0.6577308712890978","0.810852657367251","1.7587657999247313","25.823959035798907","73.45145209133625","25.02785865124315","0.014102818444371223","1493.94287109375","9","768","mlp","1"
"roberta-base","wine_reviews","frozen","3.2262250850885024","1.4193354234688476","0.677873863043949","0.8218068690435955","2.400109963491559","25.836876184679568","93.47782374918461","22.601938288658857","0.013968921266496181","1714.08447265625","8","768","mlp","1"
"deberta-v3-base","wine_reviews","frozen","5.016861131758079","1.7772418074591638","0.49908575707021396","0.7011079248919502","3.5435993168503046","26.201676218770444","154.45302629750222","75.23275210615247","0.01297796331346035","2910.2998046875","27","768","mlp","1"
"electra-base-discriminator","wine_reviews","frozen","3.249122200635342","1.4213477621361805","0.6755876743298912","0.8187177345738074","2.5851142816245556","25.673695974051952","94.32757592853159","30.169009063392878","0.013986626639962196","1656.18310546875","11","768","mlp","1"
"albert-base-v2","wine_reviews","frozen","3.078540450634099","1.3840719223599611","0.6926196044382629","0.827377660178781","1.0107243694365025","26.04464620538056","143.34448555018753","35.561615185812116","0.013925192877650261","1597.4541015625","13","768","mlp","1"
"e5-base-v2","wine_reviews","frozen","2.6512922306886693","1.2773834923541367","0.7352786920662406","0.8531979627562037","2.2086926586925983","25.625010103918612","95.39566006325185","64.14546119049191","0.013943677768111229","1662.6171875","23","768","mlp","1"
"bge-base-en-v1.5","wine_reviews","frozen","3.0562023815654524","1.3719162299916892","0.6948499745167174","0.8326129853400723","2.098673155531287","25.41340726800263","93.90213746670634","60.440235225483775","0.013968844898045063","1658.43603515625","22","768","mlp","1"
"modernbert-embed-base","wine_reviews","frozen","2.774305305214222","1.3161915945995317","0.7229963108166646","0.8516721192744895","2.4435815643519163","25.464827371761203","189.19446195010096","60.28498175274581","0.014470502734184265","1812.21435546875","22","768","mlp","1"
"sentence-t5-base","wine_reviews","frozen","3.0709064029368536","1.3765958233745026","0.6933818346699407","0.829300270137551","4.937068159691989","25.986994297243655","134.46520369313657","66.63743631262332","0.013873457908630371","1622.02197265625","24","768","mlp","1"
"mxbai-embed-large-v1","wine_reviews","frozen","3.2791445694985386","1.4299243208550665","0.6725900565415757","0.8169345753320154","4.687877408228815","25.774987612850964","256.2922671874985","27.631547566503286","0.013632225804030895","2831.64501953125","10","1024","mlp","1"
