"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","finetune","1.4122176445720052","0.9160484401827613","0.8589955125915605","0.9262259495463142","14.90641038864851","51.22381985373795","0","1240.6312435548753","19.831993867643178","2949.71435546875","10","384","mlp","1"
"all-mpnet-base-v2","wine_reviews","finetune","1.1721358417208236","0.8149003841141922","0.8829667550393805","0.9420174535835704","2.9831137657165527","25.828896758146584","0","3179.5421792855486","29.11335145868361","14464.44677734375","10","768","mlp","1"
"potion-base-8M","wine_reviews","finetune","3.1922448170975986","1.4011800522942692","0.6812666618016157","0.8219319701330974","0.2140460703521967","25.82753833848983","25.670329897664487","53.913979354314506","0.014931142330169678","401.873046875","20","256","mlp","1"
"potion-base-32M","wine_reviews","finetune","3.03789781142309","1.370426526781489","0.6966776152773864","0.8299853302586142","0.379455198533833","25.80315575748682","27.003689396195114","55.09743030741811","0.01391549687832594","785.08642578125","20","512","mlp","1"
"deberta-v3-small","wine_reviews","finetune","1.8551135352806372","1.0692394307720596","0.8147740653630057","0.9089757938911397","3.5123407561331987","26.099764810875058","0","1222.450796186924","25.6905916351825","12682.38134765625","5","768","mlp","1"
"modernbert-base","wine_reviews","finetune","1.049181487419945","0.6856634410562721","0.895243273300902","0.9436740655854204","1.1887515941634774","26.049274236895144","0","4497.945689420216","46.07180628646165","17722.166015625","10","768","mlp","1"
"distilbert-base-uncased","wine_reviews","finetune","1.0845963156067027","0.7546013849254043","0.8917072392382167","0.9425939355206081","1.1464356258511543","25.938512817956507","0","1685.4822437372059","20.673919273540378","6070.42626953125","10","768","mlp","1"
"roberta-base","wine_reviews","finetune","1.357296363576561","0.9013240491887062","0.8644791907656315","0.9280934479796417","1.1808147365227342","25.930826717987657","0","2202.4024419402704","26.418841056525707","11076.6044921875","8","768","mlp","1"
"deberta-v3-base","wine_reviews","finetune","9.782273866094393","2.8347914216992898","0.02327766723545943","0.8969969982204677","3.436363068409264","26.38105653785169","0","2145.202108543366","41.324314589612186","22889.64990234375","5","768","mlp","1"
"electra-base-discriminator","wine_reviews","finetune","6.182987827466155","2.160973997759952","0.38265250217241986","0.8999330963529989","1.986210422590375","26.106585202738643","0","1461.920656973496","29.686410643160343","10884.9853515625","5","768","mlp","1"
"albert-base-v2","wine_reviews","finetune","1.008246644165321","0.6072687661795692","0.899330459587271","0.9453185882397153","1.4689874751493335","26.241173638030887","0","3538.6699075540528","37.79666601493955","15416.9208984375","10","768","mlp","1"
"e5-base-v2","wine_reviews","finetune","1.4480513934604242","0.9290894516696557","0.8554176509118435","0.9383728373379825","1.9903386179357767","25.785259198397398","0","2312.5685893967748","29.85155112016946","10968.0791015625","8","768","mlp","1"
"bge-base-en-v1.5","wine_reviews","finetune","1.9751147072540143","1.1078206618401993","0.8027924109717336","0.9136367239993087","0.9899699492380023","25.7131684795022","0","1464.8864917382598","30.380557497031987","10889.4912109375","5","768","mlp","1"
"modernbert-embed-base","wine_reviews","finetune","1.1057305631674348","0.7487031531247775","0.8895970660963373","0.940738414585687","2.9799763802438974","26.60331547446549","0","4517.084518663585","45.93368953000754","17722.166015625","10","768","mlp","1"
"sentence-t5-base","wine_reviews","finetune","1.4810299151045778","0.9487642330407939","0.8521248726649528","0.9204718029578386","6.631263639777899","26.432649734430015","0","3217.7294696569443","28.46285331901163","15965.50146484375","10","768","mlp","1"
"mxbai-embed-large-v1","wine_reviews","finetune","0.9439845004116266","0.6810846776027465","0.9057467868967228","0.9543769432585045","4.879276670515537","25.725779118947685","0","7697.4734951024875","62.12594882212579","28250.01171875","10","1024","mlp","1"
