"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","finetune","1.226200634213487","0.8292534645993008","0.8775685939403652","0.9365046115586555","2.7375609818845987","20.488119632937014","0","1184.0172597458586","17.765196563676","2949.71435546875","10","384","mlp","1"
"all-mpnet-base-v2","wine_reviews","finetune","1.7630855528539844","1.0400298309339753","0.8239627046206859","0.9033011717722332","2.8843441838398576","20.135699621401727","0","1403.6918029487133","28.416117704473436","14464.44677734375","4","768","mlp","1"
"potion-base-8M","wine_reviews","finetune","3.4166546136560663","1.4564009956868706","0.6588602087631756","0.8095948393662123","0.21011270117014647","25.958283377811313","25.648803068324924","40.656762606464326","0.014272424392402172","401.873046875","15","256","mlp","1"
"potion-base-32M","wine_reviews","finetune","3.3489750450193756","1.4409954050471183","0.6656177527722884","0.8128154541138499","0.43747919506859034","25.44024508399889","33.2567578679882","85.92958693497349","0.025799095979891717","785.08642578125","19","512","mlp","1"
"deberta-v3-small","wine_reviews","finetune","2.294085823734723","1.209879244679463","0.7709443746932386","0.914159767831425","3.5508330687880516","25.76547625195235","0","1231.8681598361582","25.911277153529227","12682.38134765625","5","768","mlp","1"
"modernbert-base","wine_reviews","finetune","0.9445536242304257","0.6567834041463257","0.9056899620775103","0.9493142695410373","1.2096794849494472","25.118408626993187","0","4907.983306490001","50.7054696069099","17722.166015625","10","768","mlp","1"
"distilbert-base-uncased","wine_reviews","finetune","1.0767124773611265","0.7429912805671832","0.8924944100931492","0.9450268829063756","1.0895620351657271","20.48483986314386","0","1670.631862493232","19.012160228565335","6070.42626953125","10","768","mlp","1"
"roberta-base","wine_reviews","finetune","2.123248847826556","1.1455844183785149","0.7880017881244661","0.8970690251313722","1.226509259082377","25.651996379718184","0","1222.5720492312685","28.56986235640943","11076.6044921875","4","768","mlp","1"
"deberta-v3-base","wine_reviews","finetune","12.41743292831511","3.1772384456150324","-0.23983280602360146","0.8633342549642049","3.6522349109873176","26.23055590968579","0","1748.3657998889685","41.04227882344276","22889.64990234375","4","768","mlp","1"
"electra-base-discriminator","wine_reviews","finetune","5.930322701106823","2.1079028943309783","0.40788014096111636","0.8997352307012558","1.7478945013135672","20.20802106615156","0","1203.6328348889947","27.884386689402163","10884.9853515625","4","768","mlp","1"
"albert-base-v2","wine_reviews","finetune","1.34055338267942","0.8661069772388679","0.8661509128604267","0.9284192334717583","0.8987053260207176","25.87452006712556","0","3979.280225672759","43.318132841959596","15416.9208984375","10","768","mlp","1"
"e5-base-v2","wine_reviews","finetune","1.34754425416792","0.8899238523821861","0.8654529012936097","0.9359714761810409","1.0195715259760618","20.196941405534744","0","2078.112985649146","28.323781029321253","10968.0791015625","7","768","mlp","1"
"bge-base-en-v1.5","wine_reviews","finetune","1.1792217710275092","0.7980263901279667","0.8822592523158861","0.9487607986206236","0.9072445938363671","26.168220726773143","0","2827.5349798528478","29.43462598323822","10889.4912109375","10","768","mlp","1"
"modernbert-embed-base","wine_reviews","finetune","0.9199202772398599","0.6524366121205032","0.9081495068076794","0.9504109460768683","1.3197841650107875","26.437276202021167","0","4919.382370213978","49.77313944895286","17722.166015625","10","768","mlp","1"
"sentence-t5-base","wine_reviews","finetune","1.383503600954252","0.9109930312531027","0.8618624991479931","0.9300695491170666","3.9882141863927245","20.84342131577432","0","3407.8180675683543","27.70602400228381","15965.50146484375","10","768","mlp","1"
"mxbai-embed-large-v1","wine_reviews","finetune","1.5542327624929386","0.9650648025434203","0.8448158505659107","0.9391232751909601","3.5270360074937344","25.867826658301055","0","6544.406270412728","64.26319688744843","28250.01171875","8","1024","mlp","1"
